"No","Ecosystem","Region","Stock","N","Brood years"
1,"West Coast","Fraser River","Early Stuart",62,"1950--2011"
2,"West Coast","Fraser River","Bowron",62,"1950--2011"
3,"West Coast","Fraser River","Fennell",34,"1967--2000"
4,"West Coast","Fraser River","Gates",44,"1968--2011"
5,"West Coast","Fraser River","Nadina",39,"1973--2011"
6,"West Coast","Fraser River","Pitt",62,"1950--2011"
7,"West Coast","Fraser River","Raft",62,"1950--2011"
8,"West Coast","Fraser River","Scotch",21,"1980--2000"
9,"West Coast","Fraser River","Seymour",61,"1950--2010"
10,"West Coast","Fraser River","Chilko",62,"1950--2011"
11,"West Coast","Fraser River","Late Stuart",62,"1950--2011"
12,"West Coast","Fraser River","Quesnel",62,"1950--2011"
13,"West Coast","Fraser River","Stellako",62,"1950--2011"
14,"West Coast","Fraser River","Birkenhead",52,"1950--2001"
15,"West Coast","Fraser River","Cultus",48,"1952--1999"
16,"West Coast","Fraser River","Harrison",62,"1950--2011"
17,"West Coast","Fraser River","Late Shuswap",54,"1950--2003"
18,"West Coast","Fraser River","Portage",41,"1961--2001"
19,"West Coast","Fraser River","Weaver",45,"1966--2010"
20,"West Coast","BC North","Nass (Meziadin)",39,"1972--2010"
21,"West Coast","SEAK","Redoubt",29,"1982--2010"
22,"West Coast","SEAK","Chilkoot",36,"1976--2011"
23,"Gulf of Alaska","PWS","Copper",50,"1961--2010"
24,"Gulf of Alaska","PWS","Coghill",47,"1962--2008"
25,"Gulf of Alaska","Cook Inlet","Kenai",43,"1968--2010"
26,"Gulf of Alaska","Cook Inlet","Kasilof",43,"1968--2010"
27,"Gulf of Alaska","Kodiak","Frazer",44,"1966--2009"
28,"Gulf of Alaska","Kodiak","Ayakulik",45,"1966--2010"
29,"Gulf of Alaska","Kodiak","Early Upper Station",42,"1969--2010"
30,"Gulf of Alaska","Kodiak","Late Upper Station",41,"1970--2010"
31,"Gulf of Alaska","Kodiak","Early Karluk",30,"1981--2010"
32,"Gulf of Alaska","Kodiak","Late Karluk",31,"1981--2011"
33,"Gulf of Alaska","Chignik","Black Lake",46,"1965--2010"
34,"Gulf of Alaska","Chignik","Chignik Lake",46,"1965--2010"
35,"Bering Sea","AK Peninsula","Nelson",30,"1981--2010"
36,"Bering Sea","AK Peninsula","Bear",30,"1981--2010"
37,"Bering Sea","Bristol Bay","Ugashik",50,"1963--2012"
38,"Bering Sea","Bristol Bay","Egegik",49,"1963--2011"
39,"Bering Sea","Bristol Bay","Naknek",50,"1963--2012"
40,"Bering Sea","Bristol Bay","Kvichak",50,"1963--2012"
41,"Bering Sea","Bristol Bay","Nushagak",28,"1985--2012"
42,"Bering Sea","Bristol Bay","Wood",50,"1963--2012"
43,"Bering Sea","Bristol Bay","Igushik",50,"1963--2012"
44,"Bering Sea","Bristol Bay","Togiak",56,"1956--2011"
45,"Bering Sea","AYK","Goodnews",29,"1981--2009"
